"User","Print result [success canceled failed]","Start Datetime [dd.mm.yyyy hh:mm]","End Datetime [dd.mm.yyyy hh:mm]","Duration","File Name","File Path","File Size [bytes]","Layers [current / total]","Height [current / total]","Note","Temperatures [bed:temp toolX:temp]","Spool Vendor","Spool Name","Material","Diameter [mm]","Density [g/cm3]","Used Length [mm]","Calculated Length [mm]","Used Weight [g]","Used Filament Cost"
"admin","canceled","22.05.2021 21:49","22.05.2021 21:49","0s","EFP_01_M4P.gcode","EFP_01_M4P.gcode","2342482","-","-","-","","Sunlu","Arancio","PLA+","-","-","0.00","1683.03","0.00","0.00"
"admin","canceled","22.05.2021 21:48","22.05.2021 21:48","2s","TakeSanp.gcode","TakeSanp.gcode","346","- / -","10.2 / 0.0","-","","Sunlu","Arancio","PLA+","-","-","0.00","0.00","0.00","0.00"
"admin","canceled","22.05.2021 21:48","22.05.2021 21:48","2s","TakeSanp.gcode","TakeSanp.gcode","346","- / -","10.2 / 0.0","-","","Sunlu","Arancio","PLA+","-","-","0.00","0.00","0.00","0.00"
"admin","canceled","22.05.2021 21:31","22.05.2021 21:31","34s","root-miniatures-cat.stl-809000d_0.2mm_PLA-PVA_MK3SMMU2S_6h13m.gcode","root-miniatures-cat.stl-809000d_0.2mm_PLA-PVA_MK3SMMU2S_6h13m.gcode","9701943","1 / 178","0.2 / 35.8","-","","Sunlu","Giallo, Nero, Verde, Arancio","PLA+","-","-","258.13","11945.38","0.78","0.78"
"admin","canceled","22.05.2021 21:31","22.05.2021 21:31","34s","root-miniatures-cat.stl-809000d_0.2mm_PLA-PVA_MK3SMMU2S_6h13m.gcode","root-miniatures-cat.stl-809000d_0.2mm_PLA-PVA_MK3SMMU2S_6h13m.gcode","9701943","1 / 178","0.2 / 35.8","-","","Sunlu","Giallo, Nero, Verde, Arancio","PLA+","-","-","258.13","11945.38","0.78","0.78"
"admin","canceled","22.05.2021 21:30","22.05.2021 21:30","9s","MarvinWithImprovedCrotch-PLA-Fine.gcode","_archive/MarvinWithImprovedCrotch-PLA-Fine.gcode","1350255","1 / 158","0.2 / 25.1","-","","Sunlu","Verde, Arancio","PLA+","-","-","43.59","-1.10","0.13","0.13"
"admin","canceled","22.05.2021 21:30","22.05.2021 21:30","9s","MarvinWithImprovedCrotch-PLA-Fine.gcode","_archive/MarvinWithImprovedCrotch-PLA-Fine.gcode","1350255","1 / 158","0.2 / 25.1","-","","Sunlu","Verde, Arancio","PLA+","-","-","43.59","-1.10","0.13","0.13"
"admin","canceled","22.05.2021 21:27","22.05.2021 21:27","3s","MarvinWithImprovedCrotch-PLA-Fine.gcode","_archive/MarvinWithImprovedCrotch-PLA-Fine.gcode","1350255","- / -","20.0 / -","-","","Sunlu","Arancio","PLA+","-","-","0.00","-1.10","0.00","0.00"
"admin","canceled","22.05.2021 21:27","22.05.2021 21:27","3s","MarvinWithImprovedCrotch-PLA-Fine.gcode","_archive/MarvinWithImprovedCrotch-PLA-Fine.gcode","1350255","- / -","20.0 / -","-","","Sunlu","Arancio","PLA+","-","-","0.00","-1.10","0.00","0.00"
"admin","canceled","22.05.2021 21:19","22.05.2021 21:19","2s","MarvinWithImprovedCrotch-PLA-Fine.gcode","_archive/MarvinWithImprovedCrotch-PLA-Fine.gcode","1350255","- / 158","20.0 / 25.1","-","bed:0.0 tool0:0.0 ","Sunlu","Arancio","PLA+","-","-","0.00","-1.10","0.00","0.00"
